title,description,label_int,label
Open-source backers revolt against Microsoft antispam plan,The Apache Software Foundation and the Debian Project said they won't support the Sender ID e-mail authentication standard in their products.,4,Sci/Tech
'THX': Young film geniuses at work (USATODAY.com),USATODAY.com - The newly restored THX 1138 arrives on DVD today with Star Wars creator George Lucas' vision of a Brave New World-like future.,4,Sci/Tech
UPDATE 1-Office Depot warns on profit; hurricanes hurt,"Office Depot Inc. (ODP.N: Quote, Profile, Research) on Tuesday warned of weaker-than-expected profits for the rest of the year because of disruptions from the string of hurricanes ",3,Business
Shutters come down for Kodak,"THE photo-equipment maker Kodak yesterday announced plans to axe 600 jobs in the UK and close a factory in Nottinghamshire, in a move in line with the giants global restructuring strategy unveiled last January.",3,Business
Bookmakers slash science odds,"The chances of scientists making any one of five discoveries by 2010 have been hugely underestimated, according to bookmakers.",4,Sci/Tech
Nuclear summit opens in Australia,Asia-Pacific leaders meet in Australia to discuss how to keep nuclear weapons out of the hands of extremists. ,1,World
"After Recapturing N. Iraqi City,  Rebuilding Starts From Scratch"," TALL AFAR, Iraq -- A three-foot-high coil of razor wire, 21-ton armored vehicles and American soldiers with black M-4 assault rifles stood between tens of thousands of people and their homes last week.",1,World
Psv Power on at Summit,PSV Eindhoven re-established their five-point lead at the top of the Dutch Eredivisie today with a 2-0 win at Vitesse Arnhem. Former Sheffield Wednesday striker Gerald Sibon put PSV ahead in the 56th minute ,2,Sports
China Hikes Interest Rates,"China's central bank on Thursday raised interest rates for the first time in nearly a decade, signaling deepening unease with the breakneck pace of development and an intent to reign in a construction boom now sowing fears of runaway inflation.",3,Business
IBM creates SOA practice,"Deepening its commitment to help corporate users create SOAs (service-oriented architectures) through the use of Web services, IBM's Global Services unit on Thursday announced the formation of an SOA Management Practice.",4,Sci/Tech
"This weekend on TV, radio","TODAY AUTO RACING 3 p.m. -- NASCAR Nextel Cup Sylvania 300 qualifying at N.H. International Speedway, Loudon, N.H., TNT PRO BASEBALL 7 p.m. -- Red Sox at New York Yankees, Ch. 38, WEEI (850) (on cable systems where Ch. 38 is not available, the game will air on NESN); Chicago Cubs at Cincinnati, ESPN 6 p.m. -- Eastern League finals: ...",2,Sports
BCCI cancels own telecast rights tender,"MUMBAI, SEPTEMBER 21: The Board of Control for Cricket in India (BCCI) today informed the Bombay High Court that it was cancelling the entire tender process regarding cricket telecast rights as also the conditional deal with Zee TV.",2,Sports
"Delta to cut up to 6,900 jobs","CHICAGO - Delta Air Lines (DAL) said Wednesday it plans to eliminate between 6,000 and 6,900 jobs during the next 18 months, implement a 10 across-the-board pay reduction and reduce employee benefits.",3,Business
Motorcycles Hit Road As Gas Prices Soar,"LAKE GEORGE, N.Y. - Even though he's facing double hip replacement surgery, Bill Smith is more than happy to struggle out the door each morning, limp past his brand new P.T...",1,World
"Stocks Seen Flat, Oil Hovers Near \$51"," NEW YORK (Reuters) - U.S. stocks were likely to open flat  on Wednesday, with high oil prices and profit warnings weighing  on the market before earnings reports start and key jobs data  is released this week.",3,Business
Google Treads on Microsoft's Turf,"Best known for its popular search engine, Google is rapidly rolling out new products and muscling into Microsoft's stronghold: the computer desktop. The competition means consumers get more choices and better products.",3,Business
New Toshiba notebooks highlight long-running trend,"Toshiba Corp. #39;s new desktop-replacement multimedia notebooks, introduced on Tuesday, are further evidence that US consumers still have yet to embrace the mobility offered by Intel Corp.",4,Sci/Tech
Golf: Grace Park cheers home fans with LPGA victory,"JEJU, South Korea : Grace Park of South Korea won an LPGA Tour tournament, firing a seven-under-par 65 in the final round of the 1.35-million dollar CJ Nine Bridges Classic.",2,Sports
Sharon Says Rejected U.S. Bid for Talks with Syria," JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon  poured cold water on Tuesday on recent international efforts to  restart stalled peace talks with Syria, saying there was ""no  possibility"" of returning to previous discussions.",1,World
The Dutch dilemma,Dutch smugness was slapped hard during the past fortnight. The rude awakening began with the barbaric slaying of controversial filmmaker Theo van Gogh on November 2. Then followed a reciprocal cycle of some ,1,World
NHL to Lock Out Players Thursday (AP),"AP - The NHL will lock out its players Thursday, starting a work stoppage that threatens to keep the sport off the ice for the entire 2004-05 season.",2,Sports
Gazprom to Bid for YUKOS Key Oil Unit," MOSCOW (Reuters) - Russia's Gazprom said on Tuesday it will  bid for embattled oil firm YUKOS' main unit next month, as the  Kremlin seeks to turn the world's biggest gas producer into a  major oil player.",3,Business
Norway: Pilots attacked with an ax,pee writes  quot;A passenger on a commuter plane in northern Norway attacked both pilots and at least one passenger with an axe as the aircraft was coming in to land.,1,World
E-shopping: When  Things Don't Click,"Aregular Amazon customer, Yvette Thompson has found shopping online to be mostly convenient and trouble-free. But last month, after ordering two CDs on Amazon.com, the Silver Spring reader discovered on her bank statement that she was double-charged for the \$26.98 order. And there was a \$25 charge that was a mystery.",4,Sci/Tech
Sharon Pledges to Escalate Broad Israeli Gaza Offensive,"Prime Minister Ariel Sharon pledged Sunday to escalate a broad Israeli offensive in northern Gaza, saying troops will remain until Palestinian rocket attacks are halted. Israeli officials said the offensive -- in which 58 Palestinians and three Israelis have been killed -- will help clear the way for an Israeli withdrawal.",1,World
Federal Reserve Raises Benchmark A 5th Time,"Federal Reserve officials raised a key short-term interest rate Tuesday for the fifth time this year, and indicated they will gradually move rates higher next year to keep inflation under control as the economy expands.",3,Business
Central bank sends cost of debt higher,"Canadians are paying more to borrow money for homes, cars and other purchases today after a quarter-point interest-rate increase by the Bank of Canada yesterday was quickly matched by the chartered banks.",3,Business
Will September Be Good for Stocks?,"NEW YORK - Wall Street professionals know to keep their expectations in check in September, historically the worst month of the year for stocks. As summertime draws to a close, money managers are getting back to business, cleaning house, and often sending the market lower in the process...",1,World
Zarqawi Group Says It Tried to Kill Iraqi Minister,"A group linked to al Qaeda ally Abu Musab al-Zarqawi said it had tried to kill Iraq #39;s environment minister on Tuesday and warned it would not miss next time, according to an Internet statement.",1,World
Israeli Military Kills 4 Palestinian Militants in Gaza Operation,"The Israeli military killed four Palestinian militants on Wednesday as troops in tanks and armored vehicles pushed into another town in the northern Gaza Strip, extending ",1,World
Olympians out with plenty to prove in NYC Marathon,"When Paula Radcliffe dropped out of the Olympic marathon miles from the finish, she sobbed uncontrollably. Margaret Okayo knew the feeling.",2,Sports
Delta gets share incentive boost,Delta Air Lines is to issue millions of new shares without shareholder consent as part of moves to ensure its survival.,3,Business
Sexson Signs with Seattle,First baseman Richie Sexson agrees to a four-year contract with the Seattle Mariners on Wednesday.,2,Sports
Car Bomb Kills at Least 20 at Iraq Academy,"KIRKUK, Iraq - A suicide attacker detonated a car bomb Saturday outside a police academy in the northern Iraqi city of Kirkuk as hundreds of trainees and civilians were leaving for the day, killing at least 20 people and wounding 36, authorities said.    Separately, U.S and Iraqi forces clashed with insurgents in another part of northern Iraq after launching an operation to destroy an alleged militant cell in the town of Tal Afar, the U.S...",1,World
Genta Can #39;t Catch a Break,"Genta (GNTA:Nasdaq - news - research) is never boring! Monday night, the company announced that its phase III Genasense study in chronic lymphocytic leukemia (CLL) met its primary endpoint, which was tumor shrinkage.",3,Business
Nokia Launches Wireless Content Solution,"Finnish mobile giant Nokia has described its new Preminet solution, which it launched Monday (Oct. 25), as a  quot;major worldwide initiative.",4,Sci/Tech
"For ATA, it all boils down to cash","While the entire airline industry #39;s finances are under water, ATA Airlines will have to hold its breath longer than its competitors to keep from going belly up.",3,Business
"Wi-Fi Successor Called High-Speed Hype, for Now"," SAN FRANCISCO (Reuters) - At virtually every turn, Intel  Corp. executives are heaping praise on an emerging long-range  wireless technology known as WiMAX, which can blanket entire  cities with high-speed Internet access.",4,Sci/Tech
Marsh to Make Payments More Transparent,"One day after ousting its chief executive, the nation's largest insurance broker said it will tell clients exactly how much they are paying for services and renounce back-door payments from carriers.",3,Business
"Oil major eyes buybacks, \$10 billion in divestments","LONDON (CBS.MW) -- Outlining an expectation for higher oil prices and increasing demand, Royal Dutch/Shell on Wednesday said it #39;s lifting project spending to \$45 billion over the next three years.",3,Business
When will the Fed catch its breath?,"Tuesday #39;s meeting could hold clues to whether it #39;ll be a November or December pause in rate hikes. By Chris Isidore, CNN/Money senior writer.",3,Business
This week in security news,"Phishing is one of the fastest-growing forms of personal fraud in the world. While consumers are the most obvious victims, the damage spreads far wider--hurting companies #39; finances and reputations and potentially ",4,Sci/Tech
U.S. OKs Commercial Drilling in Alaska Oil Reserve (Reuters),Reuters - The U.S. Interior Department on\Friday gave final approval to a plan by ConocoPhillips and\partner Anadarko Petroleum Corp. to develop five tracts around\the oil-rich Alpine field on Alaska's North Slope.,4,Sci/Tech
Dollar May Fall on Concern Climbing Oil Prices Will Slow Growth,"The dollar may fall against the euro for a third week in four on concern near-record crude oil prices will temper the pace of expansion in the US economy, a survey by Bloomberg News indicates.",3,Business
Westfield battles for control property giant,"The battle for the British-based Chelsfield plc hotted up at the weekend, with reports from London that the property giant #39;s management was working on its own bid to thwart the 585 million (\$A1.",3,Business
Sign-Up for Dragonshard Beta Starts Today,"Atari has opened the initial sign-up phase of the closed beta for its Dungeons  amp; Dragons real-time-strategy title, Dragonshard.",4,Sci/Tech
"A Look at Lawsuits, Voting Problems (AP)",AP - Many states are facing legal challenges over possible voting problems Nov. 2. A look at some of the developments Thursday:,1,World
Israel pulls out of Khan Yunis leaving 17 dead as Qurei urges int #39; &lt;b&gt;...&lt;/b&gt;,"Israeli troops withdrew from the southern Gaza Strip town of Khan Yunis on Tuesday morning, following a 30-hour operation that left 17 Palestinians dead.",1,World
Pop Secret 500 Race Notes  amp; Quotes,Notes and quotes from various drivers following California Speedway #39;s Pop Secret 500. Jeff Gordon slipped to second in points following an engine failure while Jimmie Johnson moved back into first.,2,Sports
Lebanese PM appoints new cabinet,PM-designate Omar Karameh forms a new 30-member cabinet which includes women for the first time.,1,World
Bahrain Activist Pardoned by King,Bahrain #39;s king pardoned a human rights activist who convicted of inciting hatred of the government and sentenced to one year in prison Sunday in a case linked to criticism of the prime minister.,1,World
"IBM, Unisys work to rejuvenate mainframes","Big Blue adds features, beefs up training efforts in China; rival Unisys debuts new line and pricing plan.",4,Sci/Tech
Memphis Re-Signs Gasol to Multi-Year Deal," MEMPHIS, Tenn. (Sports Network) - The Memphis Grizzlies  signed All-Star forward Pau Gasol to a multi-year contract on  Friday. Terms of the deal were not announced.",2,Sports
"Asian, European Leaders Gather in Vietnam for Annual Summit","Leaders from 38 Asian and European nations are gathering in Vietnam for a summit of the Asia-Europe Meeting, know as ASEM. One thousand delegates are to discuss global trade and regional politics during the two-day forum.",1,World
US Soldier Pleads Guilty to Murdering Iraqi Youth,A US soldier has pleaded guilty to murdering a wounded 16-year-old Iraqi boy. Staff Sergeant Johnny Horne was convicted Friday of the unpremeditated murder ,1,World
Agassi brushes Bjorkman aside in Stockholm,Andre Agassi brushed past Jonas Bjorkman 6-3 6-4 at the Stockholm Open on Thursday to set up a quarter-final meeting with Spanish sixth seed Fernando Verdasco.,2,Sports
"Hynix, STMicro plan Chinese memory chip plant","South Korea's Hynix Semiconductor Inc. and Swiss-based STMicroelectronics NV signed a joint-venture agreement on Tuesday to construct a memory chip manufacturing plant in Wuxi, about 100 kilometers west of Shanghai, in China.",4,Sci/Tech
PeopleSoft Announces PeopleSoft Demand Flow Manufacturing and &lt;b&gt;...&lt;/b&gt;,"SAN DIEGO --(Business Wire)-- Oct. 11, 2004 -- Breakthrough PeopleSoft EnterpriseOne 8.11 Applications Enable Manufacturers to Become Demand-Driven.",3,Business
Oil Prices Up Ahead of Northern Winter (Reuters),"Reuters - Oil prices rose on Friday as tight\supplies of distillate fuel, including heating oil, ahead of\the northern hemisphere winter spurred buying.",3,Business
Intel Shows Mystery Dual-Core Desktop Chip,"Well, Intel did say - dismissively of course - that wasn #39;t going to try to match AMD #39;s little dual-core Opteron demo coup of last week and show off a dual-core Xeon at the Intel Developer Forum this week and - as good as its word - it didn #39;t.",4,Sci/Tech
Guinea-Bissau #39;s army chief of staff killed in military revolt,"Guinea-Bissau #39;s army chief of staff and former interim president, General Verissimo Correia Seabra, was killed Wednesday during unrest by mutinous soldiers in the former Portuguese ",1,World
Ukraine Election To Go To Second Round,31 October 2004 -- Exit polls show that Prime Minister Viktor Yanukovich and challenger Viktor Yushchenko finished on top in Ukraine #39;s presidential election today and will face each other in a run-off next month.,1,World
Scientist: FDA Incapable of Protecting Safety,"Nov. 18, 2004 - An FDA scientist says the FDA, which is charged with protecting America #39;s prescription drug supply, is incapable of doing so.",3,Business
Bono plans lifelong poverty fight,Rock singer Bono pledges to spend the rest of his life trying to eradicate extreme poverty around the world.,1,World
Mud the New Menace at Diana Fountain (AP),"AP - Just when tourists thought it was safe to go back to the Princess Diana memorial fountain, the mud has struck.",1,World
UK inflation rate fall continues,"The UK's inflation rate fell in September, thanks in part to a fall in the price of airfares, increasing the chance that interest rates will be kept on hold.",3,Business
IBM Selling PC Unit to China's Lenovo," HONG KONG/SAN FRANCISCO (Reuters) - IBM is selling its  PC-making business to China's largest personal computer  company, Lenovo Group Ltd., for \$1.25 billion, marking the U.S.  firm's retreat from an industry it helped pioneer in 1981.",3,Business
Candidates on Issues: Medical Malpractice (AP),"AP - Three times a week, The Associated Press picks an issue and asks President Bush and Democratic presidential candidate John Kerry a question about it. Today's question and their responses:",1,World
Excited Boston Ready to 'Play Ball', BOSTON (Reuters) - Boston was tingling with anticipation on  Saturday as the Red Sox prepared to host Game One of the World  Series against the St. Louis Cardinals and take a step toward  ridding themselves of a hex that has hung over the team for  eight decades.,2,Sports
No-nonsense Souness gets to grips with with sulking Bellamy,"FOR the first time since his appointment as Newcastle United manager, Graeme Souness has been required to display the strong-arm disciplinary qualities that, to Newcastle directors, made ",2,Sports
Putin favors veto right for India as permanent UNSC member,"In an apparent damage control exercise, Russian President Vladimir Putin on Saturday said he favored veto rights for India as new permanent member of the UN Security Council.",1,World
"Nordstrom profit soars in quarter, but not enough for Wall St.",Nordstrom reported a strong second-quarter profit as it continued to select more relevant inventory and sell more items at full price. ,3,Business
Giants: How they won,WHY IT HAPPENED Tom Coughlin won his first game as Giants coach and immediately announced a fine amnesty for all Giants. Just kidding.,2,Sports
Tiger ratings boost on PGA return,A second-place finish in his first tournament since getting married was good enough to take Tiger Woods from third to second in the world rankings.,2,Sports
Young Given Lifetime Ban for Second Offense," COLORADO SPRINGS, Colorado (Reuters) - World 400 meters  champion Jerome Young has been given a lifetime ban from  athletics for a second doping offense, the U.S. Anti-Doping  Agency (USADA) said Wednesday.",2,Sports
Nigerian Senate Orders Shell Unit to Pay (AP),"AP - Nigeria's Senate has ordered a subsidiary of petroleum giant Royal/Dutch Shell to pay a Nigerian ethnic group  #36;1.5 billion for oil spills in their homelands, but the legislative body can't enforce the resolution, an official said Wednesday.",1,World
"Wi-Fi, WiMAX dead and gone, fibre pundits say","IT #39;S BEEN a heck of an interesting two days here in Iceland. I #39;ve seen some interesting technology, heard some inventive speeches and met some people with different ideas.",4,Sci/Tech
Bank set to keep UK rates on hold,The Bank of England is set to keep interest rates on hold following the latest meeting of the its Monetary Policy Committee.,3,Business
Australia targeted for first time in Iraq car bomb,Australian troops in Baghdad came under attack today for the first time since the end of the Iraq war when a car bomb exploded injuring three soldiers and damaging an Australian armoured convoy.,1,World
US sets penalties on import of shrimp,"The Bush administration upheld yesterday the imposition of penalty tariffs on shrimp imports from China and Vietnam, handing a victory to beleaguered US shrimp producers.",3,Business
House prices rise again,"House prices rose 0.2 percent in September compared with the month before to stand up 17.8 percent on a year ago, the Nationwide Building Society says.",3,Business
'Phishing' Scam Now Lures German Banking Clients (Reuters),"Reuters - Two clients of Germany's Postbank\(DPBGn.DE) fell for an e-mail fraud that led them to reveal\money transfer codes to a bogus Web site -- the first case of\this scam in German, prosecutors said on Thursday.",4,Sci/Tech
US IT spending to grow 7 in 2005,"US spending on information technology goods, services, and staff will grow seven percent in 2005 and continue at a similar pace through 2008, according to a study released Monday by Forrester Research.",4,Sci/Tech
Arsenal get \$300m Emirates boost,"LONDON - In two years, Arsenal will play their home matches in the Emirates stadium. That is what their new stadium at Ashburton Grove will be called after the Premiership champions yesterday agreed to the ",2,Sports
Auburn simply awesome,"KNOXVILLE, Tenn. -- Jason Campbell threw for 252 yards and two touchdowns, and No. 8 Auburn proved itself as a national title contender by overwhelming No. 10 Tennessee, 34-10, last night.",2,Sports
NASA to Test Automated Mission,"Look, Ma, no hands! The U.S. space agency's latest spacecraft can run an entire mission by itself. By Amit Asaravala.",4,Sci/Tech
EDITORIAL: IAEA cannot request access to Dr AQ Khan,Pakistans decision to refuse the International Atomic Energy Agency to have direct access to Dr AQ Khan is correct on both legal and political counts.,1,World
Scramble to Reach Philippine Survivors,"MANILA, 4 December 2004 - With floods receding, rescuers raced to deliver food to famished survivors in northeastern Philippine villages isolated by back-to-back storms that left more than 650 people dead and almost 400 missing.",1,World
"EU Says No Deal, No Breakdown on Fusion Reactor",Talks on where to build the world #39;s first nuclear fusion reactor ended without a deal on Tuesday but the European Union said Japan and the United States no longer firmly opposed its bid to put the plant in France.,1,World
Microsoft Joins ISPs In Filing Anti-Spam Lawsuits,"Joining America Online, EarthLink and Yahoo against spamming, Microsoft Corp. today announced the filing of three new anti-Spam lawsuits under the CAN-SPAM federal law as part of its initiative in solving the Spam problem for Internet users worldwide.",4,Sci/Tech
Lack of finishing kicks ends Revolution's run,"WASHINGTON -- Another Revolution season concluded with an overtime elimination. Last night, the Revolution thrice rallied from deficits for a 3-3 tie with D.C. United in the Eastern Conference final, then lost in the first-ever Major League Soccer match decided by penalty kicks.",2,Sports
Wade enjoying sidekick #39; role,"Dwyane Wade calls himself a  quot;sidekick, quot; gladly accepting the role Kobe Bryant never wanted in Los Angeles. And not only does second-year Heat point ",2,Sports
How Secure Is Your Computer?,"A nationwide inspection shows Internet users are not as safe online as they believe. The inspections found most consumers have no firewall protection, outdated antivirus software and dozens of spyware programs secretly running on their computers.",4,Sci/Tech
Fijian Golfer Singh Wins 8th PGA Tour Event of Season,"World number one golfer Vijay Singh of Fiji has captured his eighth PGA Tour event of the year with a win at the 84 Lumber Classic in Farmington, Pennsylvania.",2,Sports
"Amid hostilities, Americans take over",The noise was deafening and potentially unsettling in the minutes before the start of the men #39;s Olympic 200-meter final. The Olympic Stadium crowd chanted  quot;Hellas!,2,Sports
"Edwards, Cheney Set to Meet in Only Debate","CLEVELAND - The White House said Vice President Dick Cheney faces a ""master litigator"" when he debates Sen. John Edwards Tuesday night, a backhanded compliment issued as the Republican administration defended itself against criticism that it has not acknowledged errors in waging war in Iraq...",1,World
Ronaldinho Brilliance in Barcelona-Milan 2-1,"Brazilian forward Ronaldinho scored a sensational goal for Barcelona against Milan, making for a last-gasp 2-1. The 24-year-old #39;s brilliant left-foot hit at the Nou Camp Wednesday night sent Barcelona atop of Group F.",2,Sports
Nortel Delays Release of Financial Reports,Nortel Networks says it will again delay the release of its restated financial results. The Canadian telecom vendor originally promised to release the restated results in September.,3,Business
Away on Business: Hold the Phone," CHICAGO (Reuters) - At first glance, paying \$13 or \$14 for  a hard-wired Internet laptop connection in a hotel room might  seem expensive.",3,Business
S.Korea #39;s Ruling Party Head Resigns on Father #39;s Past,SEOUL (Reuters) - The chairman of South Korea #39;s ruling Uri Party resigned on Thursday after saying his father had served as a military police officer during Japan #39;s 1910-1945 colonial rule on the peninsula. ,1,World
Africa and its children,"ALERE, Uganda -- Kasmiro Bongonyinge remembers sitting up suddenly in his bed. It was just after sunrise on a summer morning two years ago, and the old man, 87 years old and blind, knew something was wrong.",1,World
Insurance Probe Rattles Stocks (Reuters),"Reuters - An investigation into U.S. insurers\and brokers rattled insurance industry stocks for a second day\on Friday as investors, shaken further by subpoenas delivered\to the top U.S. life insurer, struggled to gauge how deep the\probe might reach.",3,Business
49ers notes: Carter hoping to face Chicago,Bee Staff Writer. SANTA CLARA - Andre Carter #39;s back injury has kept him out of the 49ers #39; lineup since Week 1. It #39;s also interfering with him rooting on his alma mater in person.,2,Sports
Winslow Jr. Ready to Debut With Browns (AP),AP - Kellen Winslow Jr. ended his second NFL holdout Friday.,2,Sports
Yudhoyono confirmed as winner,"JAKARTA - Official results have confirmed former army general Susilo Bambang Yudhoyono as the winner of Indonesia #39;s first direct presidential election, while incumbent Megawati Sukarnoputri urged her nation Thursday to wait for the official announcement ",1,World
Manning closes in on Marinos TD mark,"HOUSTON - With only a few seconds left in a certain victory for Miami, Peyton Manning threw a meaningless 6-yard touchdown pass to Marvin Harrison to cut the score to 24-15.",2,Sports
Ethiopia Struggles to Feed Itself 20 Yrs After Famine (Reuters),"Reuters - A ragged band of children\emerges ghost-like from mists in Ethiopia's highlands,\thrusting bunches of carrots at a car full of foreigners.",1,World
More Rooney magic?,DEADLY SCORER: Manchester United #39;s Wayne Rooney celebrating his three goals against Fenerbahce this week at Old Trafford. (AP).,2,Sports
U.S.-Led Afghan Coalition Critcized (AP),AP - A U.N. human rights expert criticized the U.S.-led coalition forces in Afghanistan for violating international law by allegedly beating Afghans to death and forcing some to remove their clothes or wear hoods.,1,World
Brodeur makes it easy,"You can feel the confidence level, not just with Team Canada but with all of Canada. There #39;s every expectation, from one end of the bench to the other, that Martin Brodeur is going to hold the fort.",2,Sports
"Sunday, September 12, 2004 Questions Answered","Heading into the first game of a new season, every team has question marks. But in 2004, the Denver Broncos seemed to have more than normal.",2,Sports
"After Arafat Death, Sharon Vows to Pursue Gaza Plan", JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon  said on Thursday Yasser Arafat's death could be a turning point  for peacemaking but he would pursue a unilateral plan that  would strip Palestinians of some land they want for a state.,1,World
Rumsfeld Arrives at Desert Marine Base in Iraq," AL-ASAD AIRBASE, Iraq (Reuters) - Defense Secretary Donald  Rumsfeld swept into an airbase in Iraq's western desert Sunday  to make a first-hand evaluation of operations to quell a raging  Iraqi insurgency in his first such visit in five months.",1,World
Report: Phishing fraud could reach \$500M,"More than three out of four (76 percent) consumers are experiencing an increase in spoofing and phishing incidents, and 35 percent receive fake e-mails at least once a week, according to a recent national study.",4,Sci/Tech
"Citigroup #39;s Yamada, Top Technical Analyst, Sees Dow Falling","The Dow Jones Industrial Average failed three times this year to exceed its previous high and fell to about 10,000 each time, most recently a week ago.",3,Business
N.C. Co. Develops Germ-Fighting Clothes (AP),"AP - Deep in the Atlantic Ocean, undersea explorers are living a safer life thanks to germ-fighting clothing made in Kinston.",4,Sci/Tech
Twins lose Koskie to Jays,"Anaheim, Calif. - There is a decidedly right lean to the three-time champions of the American League Central. In a span of 26 days, the Minnesota Twins lost the left side of their infield to free agency.",2,Sports
CA updates Unicenter offerings,Computer Associates Monday announced the general availability of three Unicenter performance management products for mainframe data management.,4,Sci/Tech
EU Approves GMO Seed for Planting Across Bloc (Reuters),"Reuters - The European Union approved on\Wednesday the first biotech seeds for planting and sale across\EU territory, flying in the face of widespread consumer\resistance to genetically modified (GMO) crops and foods.",4,Sci/Tech
Coach: It's no big deal,"With the NFL trading deadline set for 4 p.m. Tuesday, Patriots coach Bill Belichick said there didn't seem to be much happening on the trade front around the league.",2,Sports
Kerry Slams 'Wrong War in the Wrong Place',"WASHINGTON - Democrat John Kerry accused President Bush on Monday of sending U.S. troops to the ""wrong war in the wrong place at the wrong time"" and said he'd try to bring them all home in four years...",1,World
"Asian Shares Lower on Earnings, Steel"," SINGAPORE (Reuters) - Asian share markets staged a  broad-based retreat on Wednesday, led by steelmakers amid  warnings of price declines, but also enveloping technology and  financial stocks on worries that earnings may disappoint.",3,Business
MS anti-Linux ad  #39;misleading #39;,p2pnet.net News:- A Microsoft UK  quot;WEIGHING THE COST OF LINUX VS. WINDOWS? LET #39;S REVIEW THE FACTS quot; magazine ad has been nailed as misleading by Britain #39;s Advertising Standards Authority (ASA).,4,Sci/Tech
Truckers defy Kathmandu blockade,More lorry drivers are bringing supplies to Nepal's capital in defiance of an indefinite blockade by Maoist rebels.,1,World
CNN Hires Former CBS Exec to US Post,"NEW YORK - CNN has a new boss for the second time in 14 months: former CBS News executive Jonathan Klein, who will oversee programming and editorial direction at the second-ranked cable news network.",3,Business
Virgin Blue Asks Australia to Review Costs,Cut-price carrier Virgin Blue said Tuesday the cost of using Australian airports is spiraling upward and asked the government to review the deregulated system of charges.,3,Business
More Web Shopping Is What's in Store,"The retail sector overall may be reporting a sluggish start to the season, but holiday shoppers are scooping up tech goods at a brisk pace -- and they're scouring the Web for bargains more than ever. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",4,Sci/Tech
England Captain Beckham Breaks a Rib (AP),AP - David Beckham broke his rib moments after scoring England's second goal in Saturday's 2-0 win over Wales in a World Cup qualifying game.,2,Sports
"Saudi Arabia, Gulf States Plan to Boost Oil Capacity (Update2)","Saudi Arabia, Kuwait and the United Arab Emirates, which account for almost half of OPEC #39;s oil output, said they #39;re committed to boosting capacity to meet soaring demand that has driven prices to a record.",3,Business
Personal income rises,The US Commerce Department said Thursday personal income posted its biggest increase in three months in August. The government agency also said personal spending was unchanged after rising strongly in July.,3,Business
"Tokyo Stocks Open Up on Banks, Exporters", TOKYO (Reuters) - Tokyo's Nikkei average opened up 0.54  percent on Monday with banks and exporters leading the way as a  stronger finish on Wall Street and declining oil prices soothed  worries over the global economic outlook.,3,Business
"Floods Kill 76 in China, No Let-Up in Sight"," BEIJING (Reuters) - Floods and landslides have killed 76  people in southwest China in the past four days and washed away  homes and roads, knocked down power lines and cut off at least  one city, state media said on Monday.",1,World
Serie A Review: Round 14,Nothing changed at the top of Serie A as all top teams won their games to keep the distance between one another unaltered. Juventus came back from behind against Lazio to win thanks to another goal by Ibrahimovic ,2,Sports
Scientists lift veil on Beagle 3,The team behind the Beagle 2 mission has unveiled its design for a successor to the British Mars lander.,4,Sci/Tech
'Free-to-air' powering growth of satellite TV boxes,"Survey points to popularity in Europe, the Middle East and Asia of receivers that skip the pay TV and focus on free programming.",4,Sci/Tech
Mayfield races way into Chase with Richmond victory,"RICHMOND, Va. Jeremy Mayfield won his first race in over four years, taking the Chevrolet 400 at Richmond International Raceway after leader Kurt Busch ran out of gas eight laps from the finish.",2,Sports
Arabs: Terror War Has Spread Instability (AP),"AP - Victims of the Sept. 11 attacks were mourned worldwide Saturday, but in the Middle East, amid sympathy for the dead, Arabs said Washington's support for Israel and the war on terror launched in the aftermath of the World Trade Center's collapse have only fueled anger and violence.",1,World
"Red Hat, Unisys Announce Partnership",Linux publisher Red Hat Inc. said Tuesday that information-technology consulting firm Unisys Corp. will begin offering a business version of the company #39;s open-source operating system on its servers.,4,Sci/Tech
Ichiro Breaks Sisler's Season Hits Record,"SEATTLE - Ichiro Suzuki set the major league record for hits in a season with 258, breaking George Sisler's 84-year-old mark with a pair of singles Friday night. The Seattle star chopped a leadoff single in the first inning, then made history with a grounder up the middle in the third...",1,World
Man intruding Queen #39;s Scottish residence identified as journalist,"The intruder who entered British Queen Elizabeth II #39;s official Scottish residence and caused a security scare was a reporter from the London-based Sunday Times newspaper, local media reported Friday.",1,World
Photo: IBM's p5-575 server,"IBM's p5-575, a specialized server geared for high-performance computing, has eight 1.9GHz Power5 processors.",4,Sci/Tech
"Lazard Asks Partners to Take Pay Cut, People Say (Update2)","Bruce Wasserstein, head of Lazard LLC, is asking partners to take a one-third pay cut as he readies the world #39;s largest closely held investment bank for a share sale, people familiar with the situation said.",3,Business
"N.B. truck driver accused in heist of 50,000 cans of Moosehead beer (Canadian Press)","Canadian Press - FREDERICTON (CP) - A New Brunswick truck driver arrested in Ontario this week has been accused by police of stealing 50,000 cans of Moosehead beer.",1,World
